Original_Label,Score
Road_traffic_density,13292.310922819373
Festival,7669.153185424912
multiple_deliveries,7209.7764587056035
Delivery_person_Ratings,6153.995223969438
Delivery_person_Age,4009.8364934261613
City,3834.259701418101
Weatherconditions,3215.7986082143484
Vehicle_condition,2566.523879388693
Type_of_vehicle,2100.263551940307
Restaurant_latitude,10.878217002591963
Delivery_location_latitude,10.592648726089905
Delivery_location_longitude,4.2951638189170165
Restaurant_longitude,3.8365657551192434
Type_of_order,3.5082449512592113
