Road_traffic_density,Festival,multiple_deliveries,Delivery_person_Ratings,Delivery_person_Age,City,Weatherconditions,Vehicle_condition,Type_of_vehicle,Time_taken(min)
High,No,0,4.9,37,Urban,Sunny,2,motorcycle,24
Jam,No,1,4.5,34,Metropolitian,Stormy,2,scooter,33
Low,No,1,4.4,23,Urban,Sandstorms,0,motorcycle,26
Medium,No,1,4.7,38,Metropolitian,Sunny,0,motorcycle,21
High,No,1,4.6,32,Metropolitian,Cloudy,1,scooter,30
Jam,No,1,4.8,22,Urban,Cloudy,0,motorcycle,26
Jam,No,1,4.7,33,Metropolitian,Fog,1,scooter,40
Medium,No,1,4.6,35,Metropolitian,Cloudy,2,motorcycle,32
Jam,No,1,4.8,22,Metropolitian,Stormy,0,motorcycle,34
Jam,No,3,4.2,36,Metropolitian,Fog,2,motorcycle,46
High,No,1,4.7,21,Metropolitian,Stormy,1,motorcycle,23
Medium,No,1,4.7,23,Metropolitian,Sandstorms,1,scooter,21
Low,No,0,4.3,34,Metropolitian,Sandstorms,0,motorcycle,20
Jam,No,1,4.7,24,Metropolitian,Fog,1,scooter,41
Jam,No,1,4.5,29,Metropolitian,Sandstorms,2,electric_scooter,20
High,No,1,4.0,35,Metropolitian,Windy,1,scooter,33
Jam,No,1,4.2,33,Metropolitian,Sandstorms,2,motorcycle,40
Jam,No,1,4.7,21,Urban,Windy,0,motorcycle,15
Jam,No,2,4.1,25,Metropolitian,Sandstorms,0,motorcycle,36
Low,No,0,4.7,31,Metropolitian,Sandstorms,2,electric_scooter,26
Low,No,1,5.0,37,Metropolitian,Sandstorms,1,motorcycle,20
Jam,No,1,4.3,33,Metropolitian,Windy,2,scooter,39
High,No,1,4.0,25,Metropolitian,Cloudy,1,motorcycle,34
Medium,No,1,4.5,29,Metropolitian,Sunny,2,electric_scooter,15
Jam,No,0,5.0,27,Urban,Stormy,0,motorcycle,18
Low,No,0,4.3,35,Metropolitian,Cloudy,1,scooter,38
Jam,No,1,4.0,32,Metropolitian,Windy,0,motorcycle,47
Low,No,0,4.8,23,Urban,Windy,2,electric_scooter,12
Low,No,1,4.8,31,Metropolitian,Sandstorms,2,motorcycle,26
Low,No,1,4.1,36,Urban,Stormy,0,motorcycle,22
Low,No,0,4.3,26,Urban,Sandstorms,0,motorcycle,21
High,No,1,4.9,38,Urban,Cloudy,1,scooter,25
Jam,No,0,3.5,32,Urban,Stormy,1,scooter,35
Low,No,1,4.6,32,Metropolitian,Cloudy,2,scooter,30
Medium,No,1,4.9,33,Metropolitian,Sunny,1,motorcycle,22
High,No,0,4.7,20,Urban,Windy,1,scooter,10
Low,No,1,4.8,20,Metropolitian,Sandstorms,2,scooter,19
Low,No,1,5.0,35,Urban,Sunny,2,scooter,11
Low,No,0,4.9,26,Metropolitian,Stormy,2,scooter,11
Low,No,1,4.8,22,Metropolitian,Fog,1,motorcycle,28
Medium,No,1,4.3,35,Metropolitian,Cloudy,1,motorcycle,33
Jam,No,3,4.7,37,Metropolitian,Sandstorms,0,motorcycle,52
Jam,No,1,4.6,28,Metropolitian,Stormy,1,scooter,22
Low,No,1,4.9,37,Urban,Fog,1,scooter,16
Jam,No,0,4.9,23,Metropolitian,Sunny,2,electric_scooter,11
Medium,No,1,4.9,27,Metropolitian,Windy,1,scooter,25
Medium,No,1,4.8,37,Urban,Cloudy,0,motorcycle,26
High,No,1,5.0,33,Metropolitian,Sunny,2,scooter,18
Medium,No,1,4.9,31,Metropolitian,Fog,1,motorcycle,16
Low,No,1,4.8,31,Metropolitian,Stormy,2,scooter,23
Low,No,0,5.0,25,Metropolitian,Cloudy,0,motorcycle,15
Jam,No,1,4.8,28,Metropolitian,Sandstorms,0,motorcycle,36
Low,No,0,4.7,31,Metropolitian,Cloudy,2,motorcycle,16
Medium,No,0,4.7,24,Urban,Sunny,0,motorcycle,19
Low,No,1,4.6,39,Metropolitian,Sunny,1,motorcycle,27
Jam,No,1,4.2,39,Semi-Urban,Fog,2,scooter,49
Jam,No,1,4.7,36,Metropolitian,Cloudy,1,motorcycle,30
Low,No,0,4.8,25,Urban,Sandstorms,1,scooter,18
Jam,No,0,4.9,33,Metropolitian,Sunny,2,scooter,22
Low,No,1,4.4,30,Metropolitian,Cloudy,2,scooter,34
Low,No,0,5.0,33,Urban,Sandstorms,0,motorcycle,24
Medium,No,1,4.9,36,Metropolitian,Fog,2,scooter,17
Low,No,0,4.8,21,Metropolitian,Sandstorms,2,electric_scooter,14
Jam,No,1,4.9,39,Metropolitian,Stormy,2,motorcycle,30
Low,No,1,4.8,23,Metropolitian,Stormy,1,scooter,15
Medium,No,1,4.8,35,Urban,Fog,2,scooter,16
Jam,No,1,4.6,39,Metropolitian,Cloudy,1,scooter,36
High,No,1,4.7,22,Urban,Sunny,1,scooter,18
Medium,No,0,4.6,32,Metropolitian,Fog,1,scooter,17
Low,No,1,4.8,24,Urban,Sandstorms,1,motorcycle,15
Low,No,1,4.7,29,Metropolitian,Fog,0,motorcycle,17
Low,No,0,4.7,26,Metropolitian,Fog,1,motorcycle,10
Jam,No,1,4.5,20,Metropolitian,Fog,1,motorcycle,27
Jam,No,2,4.1,35,Metropolitian,Sandstorms,1,motorcycle,37
Jam,No,2,4.6,39,Metropolitian,Fog,1,scooter,44
High,No,1,4.7,34,Metropolitian,Windy,2,electric_scooter,28
Jam,No,1,4.7,27,Metropolitian,Cloudy,2,scooter,42
Low,No,1,4.8,30,Metropolitian,Windy,1,motorcycle,25
Medium,No,1,4.4,25,Metropolitian,Cloudy,2,scooter,39
Medium,No,0,4.7,25,Urban,Stormy,0,motorcycle,20
High,No,1,5.0,30,Metropolitian,Stormy,1,motorcycle,31
Jam,No,0,4.6,24,Metropolitian,Stormy,1,motorcycle,13
High,No,1,4.8,25,Urban,Windy,1,scooter,19
Low,Yes,2,4.6,37,Urban,Fog,0,motorcycle,42
Low,No,1,5.0,24,Metropolitian,Fog,0,motorcycle,23
Jam,No,1,4.2,25,Metropolitian,Stormy,0,motorcycle,39
Low,No,1,4.6,32,Metropolitian,Stormy,2,motorcycle,25
Low,No,0,4.7,34,Metropolitian,Sandstorms,1,scooter,15
Low,No,1,4.9,38,Urban,Cloudy,2,scooter,15
Medium,No,0,4.8,36,Metropolitian,Sunny,2,electric_scooter,15
Low,No,0,5.0,29,Metropolitian,Sunny,0,motorcycle,18
Low,No,0,4.7,36,Metropolitian,Sandstorms,2,electric_scooter,29
Low,No,0,4.7,33,Metropolitian,Fog,0,motorcycle,20
High,No,1,4.4,36,Metropolitian,Cloudy,2,scooter,39
Low,No,0,4.8,21,Metropolitian,Windy,0,motorcycle,19
Low,No,1,4.8,25,Urban,Cloudy,1,scooter,19
Low,No,0,4.8,23,Metropolitian,Windy,0,motorcycle,17
Low,No,1,4.6,25,Urban,Stormy,2,motorcycle,15
Low,No,0,4.3,24,Urban,Sandstorms,0,motorcycle,19
Jam,No,1,4.6,27,Metropolitian,Sandstorms,0,motorcycle,29
Low,No,1,4.8,23,Urban,Cloudy,2,scooter,22
Jam,No,0,4.3,21,Metropolitian,Fog,1,scooter,42
Low,No,0,4.7,27,Urban,Sandstorms,2,scooter,12
Jam,No,1,4.2,32,Metropolitian,Cloudy,1,motorcycle,38
Low,No,1,4.6,25,Metropolitian,Sunny,0,motorcycle,23
Low,No,0,4.7,39,Metropolitian,Cloudy,1,scooter,15
Low,No,1,4.6,27,Metropolitian,Sunny,0,motorcycle,24
Jam,No,0,3.8,39,Metropolitian,Windy,1,motorcycle,37
Low,No,0,4.8,31,Metropolitian,Sandstorms,1,scooter,24
Low,No,0,4.8,31,Metropolitian,Sunny,2,electric_scooter,13
Medium,No,1,4.9,36,Urban,Cloudy,0,motorcycle,42
Low,No,1,4.9,20,Metropolitian,Sandstorms,0,motorcycle,17
Jam,No,0,4.6,24,Metropolitian,Cloudy,0,motorcycle,25
Medium,No,0,4.2,39,Metropolitian,Fog,1,scooter,39
High,No,0,4.8,37,Metropolitian,Sunny,2,scooter,18
Medium,No,1,4.9,32,Metropolitian,Sandstorms,2,motorcycle,28
Low,No,1,4.5,22,Metropolitian,Sandstorms,1,scooter,18
Low,No,0,4.9,23,Metropolitian,Windy,1,scooter,18
Jam,No,1,4.7,33,Metropolitian,Fog,1,scooter,49
Low,No,1,4.6,27,Metropolitian,Sunny,0,motorcycle,21
High,No,0,4.7,34,Metropolitian,Sunny,2,scooter,23
Low,No,1,5.0,26,Urban,Fog,2,scooter,11
Jam,No,0,4.6,31,Metropolitian,Cloudy,0,motorcycle,25
Low,No,0,4.9,32,Metropolitian,Fog,2,motorcycle,18
Low,No,0,4.7,27,Metropolitian,Cloudy,1,motorcycle,14
Medium,No,2,4.9,21,Metropolitian,Windy,0,motorcycle,36
Medium,No,1,4.9,24,Urban,Fog,1,scooter,17
Low,No,1,4.4,33,Metropolitian,Sandstorms,0,motorcycle,28
Jam,Yes,0,4.6,20,Metropolitian,Fog,0,motorcycle,44
Low,No,1,4.3,31,Metropolitian,Windy,0,motorcycle,20
Jam,No,1,5.0,36,Metropolitian,Fog,1,motorcycle,35
Jam,No,1,4.2,31,Metropolitian,Sandstorms,0,motorcycle,50
Jam,No,1,4.1,39,Metropolitian,Stormy,1,scooter,34
High,No,0,4.6,29,Urban,Sandstorms,1,scooter,23
Medium,No,1,4.9,37,Metropolitian,Fog,0,motorcycle,27
High,No,0,4.7,33,Urban,Cloudy,0,motorcycle,26
Low,No,1,3.9,31,Metropolitian,Cloudy,1,scooter,35
High,No,1,4.6,37,Urban,Windy,0,motorcycle,41
Medium,No,0,4.6,24,Metropolitian,Stormy,0,motorcycle,30
Low,No,1,4.8,23,Metropolitian,Windy,1,scooter,19
Low,No,1,4.9,36,Metropolitian,Windy,1,scooter,27
High,No,1,4.8,39,Metropolitian,Cloudy,0,motorcycle,28
Medium,No,1,4.7,20,Metropolitian,Sandstorms,0,motorcycle,24
Jam,No,1,5.0,20,Urban,Cloudy,0,motorcycle,36
Low,No,0,4.3,29,Metropolitian,Sandstorms,0,motorcycle,28
Medium,No,1,4.8,36,Urban,Fog,2,motorcycle,31
Jam,No,3,4.0,36,Metropolitian,Sunny,0,motorcycle,44
Low,No,1,4.8,22,Metropolitian,Windy,1,scooter,15
Medium,No,1,4.4,38,Metropolitian,Windy,0,motorcycle,33
Jam,No,0,4.9,39,Metropolitian,Fog,0,motorcycle,30
Medium,No,1,4.9,24,Metropolitian,Stormy,1,scooter,22
Low,No,0,4.1,30,Metropolitian,Fog,0,motorcycle,43
Medium,No,3,4.8,35,Metropolitian,Fog,0,motorcycle,48
Low,No,1,4.5,33,Metropolitian,Stormy,2,electric_scooter,19
Medium,No,1,4.7,39,Urban,Windy,1,motorcycle,21
Jam,No,0,4.3,31,Metropolitian,Windy,1,motorcycle,44
Low,No,0,4.5,37,Metropolitian,Windy,2,scooter,26
Low,No,1,4.7,37,Metropolitian,Windy,1,scooter,26
High,No,1,5.0,33,Metropolitian,Windy,1,motorcycle,31
Low,No,1,4.6,24,Urban,Stormy,2,scooter,19
Jam,No,0,4.5,33,Metropolitian,Sunny,1,scooter,18
Medium,No,1,4.7,39,Metropolitian,Fog,2,motorcycle,38
Medium,No,1,4.6,37,Metropolitian,Cloudy,1,motorcycle,32
Low,No,1,4.9,25,Metropolitian,Sandstorms,2,scooter,17
Medium,No,1,4.8,28,Urban,Fog,1,scooter,11
High,No,1,4.7,38,Metropolitian,Windy,2,motorcycle,31
Medium,No,0,4.6,31,Metropolitian,Windy,0,motorcycle,25
Jam,No,1,4.8,25,Metropolitian,Cloudy,2,motorcycle,22
Jam,No,3,4.9,35,Metropolitian,Fog,0,motorcycle,43
Jam,Yes,1,4.7,39,Metropolitian,Fog,0,motorcycle,42
